model,accent,speaker,utt_id,text,synth,ref,evaluable,f0_rmse,mcd,wer,ppg_kl,aid_pred,aid_correct,cs_accent,speaker_sim,utmos
xtts,Arabic,ABA,arctic_a0525,"The Oligarchy wanted violence, and it set its agents provocateurs to work.",/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0525.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0525.wav,True,144.2979397802914,10.519061594668647,0.0,0.4705806374549866,Canadian,False,0.5710244863731059,0.4159654090609191,2.834381103515625
xtts,Arabic,ABA,arctic_a0027,To my surprise he began to show actual enthusiasm in my favor.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0027.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0027.wav,True,191.3370023932864,11.63332310103038,0.0,0.328688770532608,American,False,0.6451981645743556,0.4528107819312484,2.6915500164031982
xtts,Arabic,ABA,arctic_a0002,"Not at this particular case, Tom, apologized Whittemore.",/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0002.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0002.wav,True,358.8570604439997,9.298667154559585,0.25,0.4675031900405884,English,False,0.583398684666539,0.5851656462896652,2.8746631145477295
xtts,Arabic,ABA,arctic_b0362,We threaten to be of the one mind before the voyage is completed.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_b0362.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_b0362.wav,True,93.4917721644561,8.11791665205911,0.0,0.5375054478645325,Australian,False,0.4403257948808856,0.3177555436720131,2.921358346939087
xtts,Arabic,ABA,arctic_a0007,And you always want to see it in the superlative degree.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0007.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0007.wav,True,426.2224898567982,9.026632365526057,0.0,0.4283747673034668,English,False,0.6358102338556132,0.4912120194793148,2.7116808891296387
xtts,Arabic,ABA,arctic_a0023,A combination of Canadian capital quickly organized and petitioned for the same privileges.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0023.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0023.wav,True,361.69162740286566,8.81042157836363,0.0,0.3712879121303558,Canadian,False,0.6045235203142051,0.4906514694986767,3.0535101890563965
xtts,Arabic,ABA,arctic_a0268,Now go ahead and tell me in a straightforward way what has happened.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0268.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0268.wav,True,189.38496948455713,10.452035330144351,0.0,0.6336732506752014,Canadian,False,0.472407351111364,0.3677235454249953,3.342118978500366
xtts,Arabic,ABA,arctic_a0319,"And the Edinburgh Evening News says, with editorial gloom.",/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0319.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0319.wav,True,244.12409387179036,10.44930337567732,0.1111111111111111,0.6223630309104919,English,False,0.5835096313245415,0.4540292272987446,2.9275102615356445
xtts,Arabic,ABA,arctic_a0323,He considered the victory already his and stepped forward to the meat.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0323.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0323.wav,True,304.5097812822303,8.695420334442316,0.0833333333333333,0.4828984439373016,Canadian,False,0.5331165809424975,0.4377620716284631,3.0502004623413086
xtts,Arabic,ABA,arctic_a0344,He seemed to fill it with his tremendous vitality.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/ABA/arctic_a0344.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/ABA/wav/arctic_a0344.wav,True,60.415229867972855,9.169424148491323,0.0,0.5871415138244629,English,False,0.5049929438020981,0.3635584042950626,3.2101900577545166
xtts,Arabic,SKA,arctic_a0525,"The Oligarchy wanted violence, and it set its agents provocateurs to work.",/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/SKA/arctic_a0525.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/SKA/wav/arctic_a0525.wav,True,595.9339668265936,8.421994367675813,0.0,0.4810214042663574,English,False,0.6062769296380429,0.3689018819730219,3.2692317962646484
xtts,Arabic,SKA,arctic_a0027,To my surprise he began to show actual enthusiasm in my favor.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/SKA/arctic_a0027.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/SKA/wav/arctic_a0027.wav,True,522.7909188457526,8.835370471551785,0.0,0.324313223361969,filipino,False,0.6886187989570581,0.447623940652782,3.089904308319092
xtts,Arabic,SKA,arctic_a0002,"Not at this particular case, Tom, apologized Whittemore.",/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/SKA/arctic_a0002.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/SKA/wav/arctic_a0002.wav,True,67.30869015301765,8.014504576075684,0.375,1.0546252727508545,English,False,0.5418521049914036,0.4771411270576107,2.436091184616089
xtts,Arabic,SKA,arctic_a0007,And you always want to see it in the superlative degree.,/Users/diyagoel/slp-diss/SOTA_models_experiments/coqui/outputs/xtts/Arabic/SKA/arctic_a0007.wav,/Users/diyagoel/slp-diss/Datasets/L2-ARCTIC/SKA/wav/arctic_a0007.wav,True,1008.2122354765914,10.36624341733026,0.1818181818181818,0.3890818953514099,Australian,False,0.2709845826166915,0.4597802357148374,2.7826950550079346
